EmployeeNumber,Age,Gender,MaritalStatus,Education,Department,JobRole,JobLevel,BusinessTravel,OverTime,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingTimesLastYear,SalarySlab,AgeBand,TenureBand,Attrition
756,26,Female,Single,3,Research & Development,Research Director,5,Travel_Frequently,No,72402,19.1,0,5,4,0,1,0,3,3,2,1,3,2,>60K,26-35,4-7 yrs,No
757,40,Male,Divorced,3,Research & Development,Research Scientist,1,Travel_Rarely,No,20289,16.3,1,19,2,2,2,2,3,2,3,2,3,2,<=35K,36-45,0-3 yrs,No
758,35,Male,Married,2,Research & Development,Manager,4,Non-Travel,Yes,64082,21.2,3,13,2,2,2,1,3,3,2,3,3,4,>60K,26-35,0-3 yrs,No
759,52,Male,Single,2,Research & Development,Laboratory Technician,3,Travel_Frequently,No,47096,19.6,0,30,2,2,2,0,3,3,2,4,3,3,35K-60K,46+,0-3 yrs,No
760,51,Female,Single,1,Research & Development,Manager,3,Travel_Rarely,Yes,52467,13.5,2,31,3,0,3,3,4,2,4,4,3,4,35K-60K,46+,0-3 yrs,No
761,32,Male,Single,3,Sales,Sales Representative,3,Travel_Rarely,Yes,42106,11.0,1,10,10,0,3,0,3,2,3,3,3,1,35K-60K,26-35,8+ yrs,No
762,35,Female,Married,3,Research & Development,Manager,3,Travel_Rarely,No,46429,20.3,1,14,7,5,7,1,3,2,2,4,3,2,35K-60K,26-35,4-7 yrs,No
763,36,Female,Single,4,Sales,Manager,1,Non-Travel,No,10000,20.2,0,18,6,4,0,4,3,4,1,4,3,3,<=35K,36-45,4-7 yrs,No
764,32,Female,Married,4,Research & Development,Laboratory Technician,2,Travel_Rarely,No,26402,11.0,0,13,3,1,2,1,3,2,2,3,2,1,<=35K,26-35,0-3 yrs,No
765,38,Female,Married,1,Sales,Sales Executive,3,Travel_Rarely,No,51111,20.8,2,17,0,0,0,0,3,4,3,3,2,1,35K-60K,36-45,0-3 yrs,No
766,29,Male,Married,4,Research & Development,Research Scientist,2,Non-Travel,No,26876,16.6,0,7,2,2,2,1,3,4,3,3,2,3,<=35K,26-35,0-3 yrs,No
767,26,Male,Single,4,Research & Development,Healthcare Representative,3,Travel_Rarely,No,41270,15.8,0,7,7,6,0,1,3,2,2,2,3,3,35K-60K,26-35,4-7 yrs,No
768,42,Male,Married,3,Research & Development,Healthcare Representative,1,Non-Travel,Yes,10000,21.2,1,23,2,0,0,1,3,1,1,4,2,2,<=35K,36-45,0-3 yrs,Yes
769,42,Female,Married,3,Research & Development,Research Scientist,3,Travel_Rarely,Yes,53026,20.2,0,22,4,4,3,0,3,1,3,4,3,2,35K-60K,36-45,4-7 yrs,No
770,29,Female,Married,5,Research & Development,Manager,2,Travel_Rarely,No,34387,17.6,1,7,1,1,0,1,3,1,4,4,3,4,<=35K,26-35,0-3 yrs,No
771,45,Female,Divorced,3,Sales,Sales Executive,2,Travel_Rarely,No,36603,17.0,1,25,14,3,3,4,3,1,1,3,2,1,35K-60K,36-45,8+ yrs,No
772,31,Male,Single,4,Research & Development,Manager,2,Travel_Frequently,No,16190,17.5,2,12,12,1,12,1,3,4,1,4,3,5,<=35K,26-35,8+ yrs,No
773,39,Male,Divorced,1,Sales,Sales Executive,3,Travel_Rarely,No,43716,13.7,1,19,0,0,0,0,3,2,3,2,3,5,35K-60K,36-45,0-3 yrs,No
774,44,Female,Married,2,Research & Development,Research Scientist,4,Travel_Rarely,No,57759,15.0,0,22,7,3,0,7,3,3,2,2,3,4,35K-60K,36-45,4-7 yrs,No
775,36,Male,Married,3,Research & Development,Laboratory Technician,2,Travel_Frequently,Yes,27755,11.9,0,15,0,0,0,0,3,1,3,2,3,2,<=35K,36-45,0-3 yrs,No
776,41,Male,Married,3,Sales,Sales Executive,3,Travel_Rarely,No,40071,14.0,1,23,5,2,2,0,3,2,4,4,3,0,35K-60K,36-45,4-7 yrs,No
777,32,Female,Married,4,Sales,Manager,2,Travel_Rarely,No,27231,13.8,0,11,1,1,1,0,3,2,4,4,3,5,<=35K,26-35,0-3 yrs,No
778,35,Male,Single,5,Research & Development,Laboratory Technician,1,Travel_Rarely,No,21797,12.8,3,16,0,0,0,0,3,2,4,3,3,2,<=35K,26-35,0-3 yrs,No
779,35,Male,Married,3,Research & Development,Research Scientist,1,Travel_Frequently,Yes,10000,15.7,1,14,0,0,0,0,3,2,3,3,3,2,<=35K,26-35,0-3 yrs,Yes
780,30,Male,Married,1,Research & Development,Research Scientist,1,Travel_Rarely,No,29218,14.0,0,10,10,0,3,1,3,3,2,3,3,2,<=35K,26-35,8+ yrs,No
781,35,Male,Married,4,Research & Development,Research Scientist,2,Travel_Rarely,No,33870,17.1,2,13,10,3,0,2,3,3,3,1,2,2,<=35K,26-35,8+ yrs,No
782,22,Female,Married,3,Research & Development,Manager,2,Travel_Rarely,No,29661,11.0,0,1,0,0,0,0,3,1,4,2,3,4,<=35K,18-25,0-3 yrs,No
783,32,Male,Divorced,2,Sales,Sales Executive,3,Non-Travel,No,52254,14.8,0,11,5,4,0,4,3,4,4,3,3,5,35K-60K,26-35,4-7 yrs,No
784,34,Male,Married,3,Research & Development,Laboratory Technician,3,Travel_Rarely,No,33385,15.7,1,12,1,1,0,1,4,2,3,4,3,4,<=35K,26-35,0-3 yrs,No
785,34,Male,Single,4,Sales,Sales Representative,1,Travel_Rarely,No,10000,14.1,2,14,1,1,1,1,3,2,2,4,2,3,<=35K,26-35,0-3 yrs,No
786,34,Female,Married,4,Research & Development,Healthcare Representative,1,Non-Travel,No,14031,14.6,1,16,12,0,2,10,3,4,2,1,2,2,<=35K,26-35,8+ yrs,No
787,36,Male,Married,3,Research & Development,Research Scientist,2,Non-Travel,Yes,40924,11.0,0,15,0,0,0,0,3,4,1,1,3,3,35K-60K,36-45,0-3 yrs,Yes
788,41,Male,Divorced,3,Research & Development,Research Scientist,2,Non-Travel,No,29628,16.5,0,22,5,0,1,0,3,4,4,4,1,2,<=35K,36-45,4-7 yrs,No
789,44,Male,Married,5,Research & Development,Research Scientist,1,Travel_Rarely,No,18600,17.6,0,24,3,1,0,3,3,1,2,1,2,1,<=35K,36-45,0-3 yrs,Yes
790,30,Male,Divorced,3,Human Resources,Manager,1,Travel_Rarely,No,10283,17.0,0,10,1,1,1,1,3,4,2,3,2,1,<=35K,26-35,0-3 yrs,Yes
791,25,Male,Single,3,Sales,Sales Representative,4,Travel_Frequently,Yes,63894,19.0,0,4,3,3,3,1,4,3,4,1,3,3,>60K,18-25,0-3 yrs,Yes
792,27,Female,Married,2,Research & Development,Laboratory Technician,3,Travel_Rarely,No,58417,15.9,1,5,5,0,0,0,3,3,1,3,1,0,35K-60K,26-35,4-7 yrs,No
793,32,Female,Divorced,4,Research & Development,Research Scientist,1,Travel_Rarely,Yes,22964,17.0,2,11,9,1,4,4,3,4,3,3,3,6,<=35K,26-35,8+ yrs,No
794,33,Male,Divorced,2,Research & Development,Laboratory Technician,2,Travel_Frequently,Yes,29348,15.8,0,12,0,0,0,0,3,4,1,2,3,6,<=35K,26-35,0-3 yrs,No
795,29,Male,Married,2,Sales,Sales Executive,2,Non-Travel,No,35403,17.7,0,7,7,2,2,6,4,4,3,3,3,1,35K-60K,26-35,4-7 yrs,No
796,25,Female,Divorced,3,Research & Development,Manager,3,Travel_Rarely,Yes,49620,11.0,2,6,6,0,6,5,3,4,1,3,3,2,35K-60K,18-25,4-7 yrs,Yes
797,32,Male,Single,2,Human Resources,Manager,2,Travel_Rarely,Yes,34052,11.9,1,10,1,1,1,0,3,3,3,1,3,4,<=35K,26-35,0-3 yrs,Yes
798,38,Female,Divorced,3,Research & Development,Research Scientist,1,Non-Travel,No,23895,21.1,2,17,2,2,2,2,3,4,4,4,3,5,<=35K,36-45,0-3 yrs,No
799,42,Male,Married,2,Research & Development,Laboratory Technician,3,Travel_Rarely,Yes,53835,11.0,0,24,0,0,0,0,3,2,4,4,2,5,35K-60K,36-45,0-3 yrs,No
800,31,Female,Single,3,Human Resources,Manager,2,Travel_Rarely,No,28982,14.7,0,9,2,0,1,2,3,4,3,2,2,2,<=35K,26-35,0-3 yrs,No
801,33,Female,Single,2,Research & Development,Laboratory Technician,2,Non-Travel,Yes,35135,19.5,1,14,6,0,2,4,3,3,4,1,3,1,35K-60K,26-35,4-7 yrs,No
802,28,Female,Married,1,Sales,Manager,2,Non-Travel,No,26935,14.9,1,6,1,1,1,1,3,4,2,1,1,2,<=35K,26-35,0-3 yrs,No
803,36,Female,Single,2,Research & Development,Manager,2,Non-Travel,No,22615,13.7,1,14,0,0,0,0,3,3,4,3,4,2,<=35K,36-45,0-3 yrs,Yes
804,29,Male,Married,4,Research & Development,Research Director,2,Travel_Rarely,No,27844,15.7,1,9,2,2,2,0,4,4,2,4,4,2,<=35K,26-35,0-3 yrs,No
805,42,Female,Single,4,Research & Development,Research Director,1,Travel_Rarely,Yes,14389,13.9,0,22,3,3,2,0,4,3,2,2,2,4,<=35K,36-45,0-3 yrs,No
806,20,Male,Single,2,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes,16707,15.3,1,0,0,0,0,0,3,3,1,3,3,2,<=35K,18-25,0-3 yrs,No
807,33,Male,Married,4,Human Resources,Manager,1,Travel_Rarely,Yes,21882,12.7,1,12,6,0,2,5,3,4,1,1,3,4,<=35K,26-35,4-7 yrs,Yes
808,39,Female,Married,3,Human Resources,Human Resources Representative,3,Travel_Frequently,No,22861,19.3,0,17,0,0,0,0,3,1,4,3,3,2,<=35K,36-45,0-3 yrs,No
809,38,Female,Married,5,Research & Development,Healthcare Representative,1,Travel_Rarely,No,36718,20.5,1,20,3,3,0,0,3,2,1,1,3,2,35K-60K,36-45,0-3 yrs,No
810,60,Female,Married,3,Sales,Manager,1,Non-Travel,Yes,27015,14.7,0,39,1,1,1,1,3,3,2,4,2,2,<=35K,46+,0-3 yrs,No
811,40,Male,Divorced,3,Human Resources,Human Resources Representative,3,Travel_Rarely,Yes,42911,11.0,0,18,17,0,2,0,3,2,3,3,3,2,35K-60K,36-45,8+ yrs,Yes
812,27,Female,Married,1,Research & Development,Manager,3,Travel_Rarely,Yes,45075,13.3,0,5,2,1,2,2,3,2,2,2,3,4,35K-60K,26-35,0-3 yrs,No
813,36,Female,Married,3,Sales,Sales Representative,3,Travel_Rarely,No,47423,14.5,0,14,0,0,0,0,3,2,4,4,3,2,35K-60K,36-45,0-3 yrs,Yes
814,20,Male,Married,5,Human Resources,Human Resources Representative,2,Travel_Rarely,No,25286,17.1,0,0,0,0,0,0,3,2,4,1,3,4,<=35K,18-25,0-3 yrs,No
815,36,Male,Single,3,Research & Development,Research Director,1,Non-Travel,No,16540,11.5,1,14,1,1,0,0,3,4,2,1,4,5,<=35K,36-45,0-3 yrs,Yes
816,29,Male,Single,2,Research & Development,Research Director,3,Travel_Rarely,No,43848,12.4,2,9,1,1,1,1,3,4,1,4,3,4,35K-60K,26-35,0-3 yrs,No
817,45,Male,Married,2,Research & Development,Manager,3,Travel_Frequently,No,44245,17.1,0,26,6,3,6,0,3,4,2,2,3,3,35K-60K,36-45,4-7 yrs,No
818,31,Female,Divorced,4,Research & Development,Research Director,1,Travel_Rarely,Yes,16451,18.7,0,12,11,0,6,0,4,1,3,4,1,3,<=35K,26-35,8+ yrs,No
819,35,Female,Single,3,Sales,Sales Representative,4,Travel_Rarely,Yes,49491,12.9,3,13,2,0,0,2,3,4,2,3,3,2,35K-60K,26-35,0-3 yrs,Yes
820,31,Female,Single,3,Research & Development,Healthcare Representative,1,Travel_Rarely,No,15316,11.0,0,10,5,0,2,5,3,3,3,4,3,3,<=35K,26-35,4-7 yrs,No
821,52,Female,Single,4,Research & Development,Manager,5,Travel_Rarely,No,76307,25.0,0,34,7,0,5,0,3,4,4,4,2,5,>60K,46+,4-7 yrs,No
822,33,Male,Divorced,1,Sales,Sales Executive,4,Travel_Rarely,No,61030,18.1,0,11,3,2,0,3,3,3,3,1,3,1,>60K,26-35,0-3 yrs,No
823,53,Female,Married,3,Research & Development,Laboratory Technician,3,Travel_Frequently,No,43273,14.2,1,35,0,0,0,0,3,1,2,4,2,4,35K-60K,46+,0-3 yrs,No
824,44,Male,Single,4,Research & Development,Research Director,4,Travel_Rarely,No,69102,18.4,0,24,1,0,1,1,3,4,2,1,3,4,>60K,36-45,0-3 yrs,No
825,41,Female,Married,3,Research & Development,Laboratory Technician,3,Travel_Rarely,No,42170,14.7,1,22,12,7,5,2,3,3,4,4,1,6,35K-60K,36-45,8+ yrs,No
826,40,Male,Married,2,Human Resources,Human Resources Representative,1,Travel_Rarely,No,16818,18.4,0,20,10,1,2,1,4,4,3,3,2,2,<=35K,36-45,8+ yrs,No
827,40,Female,Married,3,Research & Development,Laboratory Technician,2,Travel_Frequently,No,40378,15.8,0,19,0,0,0,0,4,4,2,4,3,2,35K-60K,36-45,0-3 yrs,No
828,19,Male,Single,4,Research & Development,Research Scientist,1,Travel_Rarely,Yes,14364,15.5,0,0,0,0,0,0,3,2,3,4,4,2,<=35K,18-25,0-3 yrs,No
829,34,Male,Divorced,1,Research & Development,Healthcare Representative,2,Non-Travel,No,31715,14.8,1,12,8,1,1,0,3,4,3,4,3,4,<=35K,26-35,8+ yrs,Yes
830,44,Female,Single,4,Research & Development,Research Director,3,Travel_Rarely,No,44228,11.0,1,23,3,0,2,2,3,3,2,4,3,1,35K-60K,36-45,0-3 yrs,No
831,36,Male,Married,4,Sales,Sales Executive,2,Travel_Rarely,No,39898,22.4,0,15,8,3,2,0,3,2,4,4,3,2,35K-60K,36-45,8+ yrs,No
832,24,Female,Single,2,Research & Development,Laboratory Technician,2,Travel_Rarely,No,27938,11.7,0,4,1,1,1,1,3,3,4,3,2,2,<=35K,18-25,0-3 yrs,Yes
833,36,Male,Married,4,Sales,Manager,2,Travel_Rarely,No,40266,11.0,1,18,18,5,4,2,3,2,4,4,2,2,35K-60K,36-45,8+ yrs,No
834,52,Female,Married,3,Sales,Sales Representative,4,Travel_Rarely,Yes,59171,14.4,1,33,9,1,5,6,3,1,4,4,2,2,35K-60K,46+,8+ yrs,No
835,48,Male,Married,3,Research & Development,Research Director,1,Travel_Rarely,No,10000,11.6,0,27,1,1,1,1,3,2,4,4,3,3,<=35K,46+,0-3 yrs,Yes
836,36,Male,Single,4,Research & Development,Research Scientist,2,Travel_Frequently,Yes,35434,15.0,1,15,4,3,0,0,3,2,4,4,3,5,35K-60K,36-45,4-7 yrs,No
837,45,Male,Divorced,5,Human Resources,Human Resources Representative,1,Travel_Rarely,No,12562,17.7,0,25,0,0,0,0,3,1,3,1,2,2,<=35K,36-45,0-3 yrs,Yes
838,33,Male,Single,2,Research & Development,Laboratory Technician,3,Travel_Rarely,No,49964,18.9,0,14,2,1,0,2,3,4,3,3,3,4,35K-60K,26-35,0-3 yrs,No
839,21,Male,Married,3,Research & Development,Healthcare Representative,1,Travel_Rarely,Yes,10000,18.2,0,1,1,1,1,1,3,1,1,4,4,3,<=35K,18-25,0-3 yrs,No
840,28,Male,Divorced,3,Research & Development,Healthcare Representative,3,Travel_Rarely,Yes,45041,14.1,1,10,2,2,2,2,3,3,2,1,1,1,35K-60K,26-35,0-3 yrs,No
841,51,Male,Married,3,Sales,Sales Executive,2,Travel_Rarely,No,26323,15.4,0,31,6,4,3,1,3,3,2,3,3,4,<=35K,46+,4-7 yrs,No
842,34,Male,Married,3,Research & Development,Healthcare Representative,1,Non-Travel,No,10000,16.7,1,15,1,0,0,1,3,1,3,4,3,1,<=35K,26-35,0-3 yrs,No
843,34,Male,Married,1,Sales,Manager,4,Travel_Rarely,Yes,55574,11.0,1,15,7,2,1,7,3,4,3,1,3,4,35K-60K,26-35,4-7 yrs,No
844,34,Female,Married,3,Human Resources,Manager,1,Travel_Rarely,No,10410,17.3,1,13,2,2,0,0,3,3,3,4,3,3,<=35K,26-35,0-3 yrs,No
845,54,Male,Divorced,3,Sales,Sales Representative,2,Travel_Rarely,No,29616,11.0,0,36,9,0,0,4,3,4,4,4,3,3,<=35K,46+,8+ yrs,Yes
846,51,Male,Single,2,Research & Development,Research Director,1,Travel_Rarely,Yes,10000,22.7,0,29,0,0,0,0,3,3,1,2,3,2,<=35K,46+,0-3 yrs,Yes
847,57,Female,Married,4,Sales,Sales Executive,2,Travel_Rarely,No,32530,13.7,3,36,2,2,1,1,3,4,2,4,3,3,<=35K,46+,0-3 yrs,No
848,35,Male,Married,4,Human Resources,Manager,2,Travel_Rarely,No,40929,14.5,1,15,3,1,0,1,3,4,1,1,3,4,35K-60K,26-35,0-3 yrs,No
849,39,Female,Married,3,Research & Development,Manager,2,Non-Travel,No,32247,12.4,2,19,3,0,0,3,3,2,1,4,2,3,<=35K,36-45,0-3 yrs,Yes
850,23,Male,Single,2,Research & Development,Manager,1,Travel_Rarely,No,21471,12.9,0,4,3,2,3,1,3,3,3,3,3,4,<=35K,18-25,0-3 yrs,No
851,50,Male,Married,3,Sales,Manager,2,Travel_Rarely,Yes,38756,23.6,0,31,3,0,2,3,3,3,4,4,1,3,35K-60K,46+,0-3 yrs,No
852,26,Male,Divorced,2,Research & Development,Research Scientist,3,Travel_Rarely,Yes,54891,18.7,1,7,7,2,6,1,3,4,2,2,3,2,35K-60K,26-35,4-7 yrs,No
853,38,Female,Divorced,2,Sales,Manager,3,Travel_Frequently,Yes,59961,11.0,0,16,1,1,0,1,3,2,4,3,2,1,35K-60K,36-45,0-3 yrs,No
854,26,Female,Married,4,Research & Development,Laboratory Technician,2,Travel_Rarely,No,26006,20.8,1,4,4,1,4,0,3,3,4,4,3,3,<=35K,26-35,4-7 yrs,No
855,31,Male,Married,1,Sales,Sales Representative,2,Travel_Rarely,No,24252,19.6,0,10,4,4,3,3,4,1,2,2,3,4,<=35K,26-35,4-7 yrs,No
856,29,Male,Divorced,1,Sales,Sales Representative,1,Travel_Rarely,No,21267,14.2,0,7,3,0,1,0,3,4,4,4,3,1,<=35K,26-35,0-3 yrs,Yes
857,31,Female,Single,1,Sales,Sales Representative,2,Travel_Rarely,No,35666,16.3,0,12,6,6,1,1,3,3,1,4,2,2,35K-60K,26-35,4-7 yrs,No
858,31,Male,Single,2,Research & Development,Healthcare Representative,1,Travel_Rarely,No,21205,15.1,0,10,10,9,1,0,3,4,4,3,3,0,<=35K,26-35,8+ yrs,No
859,31,Male,Married,1,Research & Development,Manager,1,Travel_Rarely,No,30114,22.5,0,10,3,0,2,0,3,4,1,4,3,3,<=35K,26-35,0-3 yrs,No
860,44,Female,Divorced,5,Sales,Manager,1,Travel_Rarely,No,15090,12.3,1,26,12,5,0,0,3,3,4,3,3,3,<=35K,36-45,8+ yrs,Yes
861,26,Female,Divorced,2,Research & Development,Healthcare Representative,2,Non-Travel,Yes,33409,15.7,0,4,0,0,0,0,3,4,3,3,3,3,<=35K,26-35,0-3 yrs,Yes
862,38,Male,Married,2,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes,22156,13.6,0,18,6,1,0,1,3,4,4,1,3,2,<=35K,36-45,4-7 yrs,No
863,47,Female,Single,2,Research & Development,Healthcare Representative,4,Travel_Rarely,No,77082,11.0,2,27,2,0,2,2,4,3,3,3,1,2,>60K,46+,0-3 yrs,Yes
864,32,Female,Married,4,Research & Development,Research Scientist,1,Travel_Rarely,No,12307,23.3,0,14,2,1,1,0,3,3,1,3,3,4,<=35K,26-35,0-3 yrs,No
865,30,Male,Single,3,Research & Development,Research Director,3,Travel_Rarely,No,42534,11.0,0,11,5,5,2,3,3,1,3,3,1,2,35K-60K,26-35,4-7 yrs,No
866,34,Male,Single,3,Research & Development,Research Scientist,3,Travel_Rarely,No,42226,16.0,1,16,3,0,3,1,3,3,4,1,3,2,35K-60K,26-35,0-3 yrs,No
867,47,Male,Married,4,Sales,Manager,2,Travel_Rarely,Yes,24840,11.0,2,28,2,0,2,1,3,4,3,2,2,3,<=35K,46+,0-3 yrs,Yes
868,38,Female,Single,3,Sales,Sales Executive,1,Travel_Rarely,No,10000,13.7,0,16,2,0,0,2,3,2,4,4,3,4,<=35K,36-45,0-3 yrs,No
869,32,Female,Divorced,3,Research & Development,Research Director,2,Travel_Rarely,No,25810,16.8,0,10,5,2,1,2,3,4,4,1,3,2,<=35K,26-35,4-7 yrs,No
870,41,Male,Married,2,Human Resources,Manager,1,Travel_Rarely,No,10000,12.1,1,20,4,4,4,4,3,1,3,3,3,5,<=35K,36-45,4-7 yrs,No
871,26,Female,Married,3,Research & Development,Healthcare Representative,2,Travel_Rarely,No,23717,17.4,0,5,2,2,1,1,3,3,2,2,2,0,<=35K,26-35,0-3 yrs,No
872,43,Male,Single,3,Sales,Sales Executive,3,Non-Travel,No,60591,14.2,1,22,1,0,1,1,3,1,1,3,3,1,>60K,36-45,0-3 yrs,No
873,40,Male,Married,3,Research & Development,Research Director,1,Travel_Rarely,No,20885,19.5,3,19,8,1,8,4,3,3,4,4,4,3,<=35K,36-45,8+ yrs,Yes
874,34,Male,Single,2,Research & Development,Healthcare Representative,1,Travel_Rarely,No,22407,20.2,2,14,9,1,3,6,3,1,4,4,1,3,<=35K,26-35,8+ yrs,No
875,29,Male,Divorced,3,Sales,Sales Executive,3,Travel_Rarely,No,54417,13.0,0,8,1,0,0,1,3,3,2,2,4,2,35K-60K,26-35,0-3 yrs,No
876,28,Female,Divorced,1,Sales,Manager,3,Travel_Frequently,No,59673,15.5,0,7,1,1,1,0,3,3,3,3,1,3,35K-60K,26-35,0-3 yrs,No
877,41,Male,Married,2,Research & Development,Research Scientist,2,Travel_Rarely,Yes,15828,15.9,3,20,1,0,1,0,3,4,4,4,3,0,<=35K,36-45,0-3 yrs,No
878,48,Female,Single,3,Research & Development,Manager,3,Travel_Frequently,Yes,35160,17.5,0,29,12,5,4,3,3,3,3,4,4,3,35K-60K,46+,8+ yrs,No
879,31,Male,Divorced,4,Sales,Manager,2,Travel_Rarely,Yes,23570,15.3,0,10,8,2,1,1,3,4,4,1,4,2,<=35K,26-35,8+ yrs,No
880,41,Male,Married,3,Sales,Sales Executive,1,Travel_Rarely,Yes,11242,15.9,1,23,0,0,0,0,4,4,1,4,3,3,<=35K,36-45,0-3 yrs,No
881,18,Female,Single,3,Sales,Sales Executive,2,Non-Travel,No,27595,14.3,0,0,0,0,0,0,3,1,4,2,3,3,<=35K,18-25,0-3 yrs,No
882,31,Male,Married,2,Research & Development,Manager,2,Travel_Rarely,No,26424,15.6,0,10,0,0,0,0,3,2,3,3,2,4,<=35K,26-35,0-3 yrs,Yes
883,36,Male,Divorced,2,Sales,Sales Representative,4,Travel_Rarely,Yes,61754,20.0,2,16,1,0,1,0,3,1,3,1,3,3,>60K,36-45,0-3 yrs,No
884,28,Male,Single,1,Sales,Sales Representative,1,Travel_Rarely,Yes,15282,17.6,0,7,7,7,5,1,3,3,3,4,3,3,<=35K,26-35,4-7 yrs,No
885,28,Female,Single,3,Research & Development,Laboratory Technician,2,Travel_Rarely,Yes,24217,17.8,0,9,9,4,3,9,3,3,3,4,3,3,<=35K,26-35,8+ yrs,No
886,30,Male,Divorced,2,Sales,Manager,2,Travel_Rarely,No,12595,17.9,0,8,8,4,0,0,3,4,3,2,3,6,<=35K,26-35,8+ yrs,Yes
887,39,Male,Single,2,Research & Development,Healthcare Representative,2,Non-Travel,No,22057,14.6,1,18,3,0,2,1,3,3,4,4,2,4,<=35K,36-45,0-3 yrs,No
888,35,Male,Single,4,Sales,Manager,1,Travel_Rarely,No,10606,16.4,0,14,2,0,2,0,3,4,3,2,4,4,<=35K,26-35,0-3 yrs,No
889,18,Male,Married,1,Sales,Manager,2,Travel_Rarely,No,28023,11.2,1,0,0,0,0,0,3,2,4,1,3,3,<=35K,18-25,0-3 yrs,Yes
890,18,Female,Divorced,3,Sales,Sales Executive,3,Travel_Rarely,Yes,35962,19.9,1,0,0,0,0,0,3,1,2,3,3,3,35K-60K,18-25,0-3 yrs,No
891,31,Male,Married,3,Research & Development,Research Scientist,2,Travel_Rarely,No,26073,11.0,2,9,2,0,0,2,3,4,4,3,3,2,<=35K,26-35,0-3 yrs,No
892,41,Male,Divorced,3,Research & Development,Healthcare Representative,2,Travel_Rarely,Yes,20952,14.9,0,21,3,1,2,2,3,2,1,1,3,4,<=35K,36-45,0-3 yrs,Yes
893,18,Male,Married,3,Research & Development,Research Scientist,2,Travel_Frequently,No,28993,19.4,1,0,0,0,0,0,3,4,3,3,1,2,<=35K,18-25,0-3 yrs,No
894,32,Male,Single,3,Research & Development,Research Director,2,Non-Travel,No,21415,11.0,0,12,12,1,8,0,3,1,1,3,3,0,<=35K,26-35,8+ yrs,Yes
895,32,Female,Divorced,2,Research & Development,Research Scientist,2,Travel_Rarely,No,23208,16.7,1,13,6,6,0,0,3,4,3,3,3,3,<=35K,26-35,4-7 yrs,No
896,49,Male,Married,4,Sales,Sales Representative,3,Travel_Rarely,No,34530,12.7,0,27,7,1,4,2,3,4,2,2,2,1,<=35K,46+,4-7 yrs,No
897,33,Female,Single,4,Sales,Sales Representative,5,Travel_Rarely,No,73771,13.8,0,14,0,0,0,0,3,3,4,1,3,5,>60K,26-35,0-3 yrs,No
898,40,Male,Married,2,Research & Development,Manager,2,Travel_Rarely,Yes,23068,18.7,1,21,5,2,5,0,3,4,1,2,3,4,<=35K,36-45,4-7 yrs,No
899,38,Male,Single,1,Sales,Manager,2,Travel_Rarely,Yes,37254,15.9,0,16,7,2,2,0,3,2,3,3,2,3,35K-60K,36-45,4-7 yrs,Yes
900,18,Female,Single,4,Sales,Sales Executive,4,Travel_Rarely,No,63246,11.0,0,0,0,0,0,0,3,1,4,3,3,2,>60K,18-25,0-3 yrs,No
901,43,Male,Single,3,Sales,Sales Executive,2,Travel_Rarely,No,29441,11.6,0,21,11,1,11,1,3,1,1,4,3,3,<=35K,36-45,8+ yrs,No
902,38,Female,Married,3,Sales,Sales Executive,2,Travel_Rarely,Yes,23620,18.8,1,17,15,0,4,0,3,2,4,2,2,3,<=35K,36-45,8+ yrs,Yes
903,41,Female,Divorced,3,Sales,Sales Representative,1,Non-Travel,No,18044,16.9,0,21,1,0,0,0,3,3,4,4,3,2,<=35K,36-45,0-3 yrs,No
904,60,Male,Married,2,Research & Development,Laboratory Technician,3,Travel_Rarely,No,50525,21.7,0,40,11,3,0,0,3,4,4,1,3,5,35K-60K,46+,8+ yrs,No
905,18,Male,Divorced,3,Research & Development,Healthcare Representative,2,Travel_Rarely,No,31141,21.4,0,0,0,0,0,0,3,1,2,2,4,2,<=35K,18-25,0-3 yrs,No
906,52,Female,Single,3,Research & Development,Research Director,3,Non-Travel,No,57829,13.9,1,34,5,0,1,0,3,4,2,3,3,4,35K-60K,46+,4-7 yrs,No
907,34,Male,Single,2,Research & Development,Research Director,3,Travel_Rarely,No,48677,24.5,0,15,11,0,4,5,3,4,1,4,3,4,35K-60K,26-35,8+ yrs,No
908,39,Male,Single,3,Research & Development,Research Scientist,1,Travel_Rarely,No,22308,15.3,0,20,2,1,2,1,3,4,1,4,3,5,<=35K,36-45,0-3 yrs,No
909,36,Male,Single,4,Sales,Manager,3,Travel_Frequently,No,46068,11.6,0,14,9,7,9,3,4,4,1,4,4,3,35K-60K,36-45,8+ yrs,No
910,33,Male,Single,3,Research & Development,Laboratory Technician,3,Travel_Rarely,No,50405,12.9,0,15,2,1,2,0,3,4,4,1,3,3,35K-60K,26-35,0-3 yrs,Yes
911,31,Female,Divorced,1,Research & Development,Research Director,2,Travel_Frequently,No,23625,11.0,1,13,9,0,4,2,3,3,3,4,3,5,<=35K,26-35,8+ yrs,No
